Parameter S1 S1_conf ST ST_conf
V_p 0.000000 0.000000 0.000000 0.000000
delta_prime_p 0.000000 0.000000 0.000000 0.000000
k_p 1.042478 0.935970 1.001669 0.061431
subs_rate 0.000000 0.000000 0.000000 0.000000
a 0.000000 0.000000 0.000000 0.000000
b 0.000000 0.000000 0.000000 0.000000
c 0.000000 0.000000 0.000000 0.000000
t.star 0.000000 0.000000 0.000000 0.000000
c.star 0.000000 0.000000 0.000000 0.000000
xi 0.000000 0.000000 0.000000 0.000000
mu 0.000000 0.000000 0.000000 0.000000
sigma 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
V_p delta_prime_p 0.000000 0.000000
V_p k_p 0.000000 0.000000
V_p subs_rate 0.000000 0.000000
V_p a 0.000000 0.000000
V_p b 0.000000 0.000000
V_p c 0.000000 0.000000
V_p t.star 0.000000 0.000000
V_p c.star 0.000000 0.000000
V_p xi 0.000000 0.000000
V_p mu 0.000000 0.000000
V_p sigma 0.000000 0.000000
delta_prime_p k_p 0.000000 0.000000
delta_prime_p subs_rate 0.000000 0.000000
delta_prime_p a 0.000000 0.000000
delta_prime_p b 0.000000 0.000000
delta_prime_p c 0.000000 0.000000
delta_prime_p t.star 0.000000 0.000000
delta_prime_p c.star 0.000000 0.000000
delta_prime_p xi 0.000000 0.000000
delta_prime_p mu 0.000000 0.000000
delta_prime_p sigma 0.000000 0.000000
k_p subs_rate -0.081619 1.865371
k_p a -0.081619 1.865371
k_p b -0.081619 1.865371
k_p c -0.081619 1.865371
k_p t.star -0.081619 1.865371
k_p c.star -0.081619 1.865371
k_p xi -0.081619 1.865371
k_p mu -0.081619 1.865371
k_p sigma -0.081619 1.865371
subs_rate a 0.000000 0.000000
subs_rate b 0.000000 0.000000
subs_rate c 0.000000 0.000000
subs_rate t.star 0.000000 0.000000
subs_rate c.star 0.000000 0.000000
subs_rate xi 0.000000 0.000000
subs_rate mu 0.000000 0.000000
subs_rate sigma 0.000000 0.000000
a b 0.000000 0.000000
a c 0.000000 0.000000
a t.star 0.000000 0.000000
a c.star 0.000000 0.000000
a xi 0.000000 0.000000
a mu 0.000000 0.000000
a sigma 0.000000 0.000000
b c 0.000000 0.000000
b t.star 0.000000 0.000000
b c.star 0.000000 0.000000
b xi 0.000000 0.000000
b mu 0.000000 0.000000
b sigma 0.000000 0.000000
c t.star 0.000000 0.000000
c c.star 0.000000 0.000000
c xi 0.000000 0.000000
c mu 0.000000 0.000000
c sigma 0.000000 0.000000
t.star c.star 0.000000 0.000000
t.star xi 0.000000 0.000000
t.star mu 0.000000 0.000000
t.star sigma 0.000000 0.000000
c.star xi 0.000000 0.000000
c.star mu 0.000000 0.000000
c.star sigma 0.000000 0.000000
xi mu 0.000000 0.000000
xi sigma 0.000000 0.000000
mu sigma 0.000000 0.000000
